Sex,Marital status,Age,Education,Income,Occupation,Settlement size
male,single,40,high school,134946,highly qualified employee,big city
female,non-single,32,high school,94058,unemployed,small city
female,non-single,23,high school,99285,skilled employee,mid-sized city
male,single,36,high school,108432,unemployed,small city
male,single,31,unknown,111369,skilled employee,small city
male,single,32,unknown,122612,skilled employee,big city
female,non-single,45,universty,134350,skilled employee,small city
female,non-single,30,high school,108838,skilled employee,big city
female,non-single,34,high school,90852,unemployed,small city
female,non-single,28,high school,151580,highly qualified employee,big city
female,non-single,23,high school,115681,skilled employee,mid-sized city
male,single,22,unknown,131699,skilled employee,mid-sized city
male,single,74,universty,192481,highly qualified employee,mid-sized city
female,non-single,50,universty,155122,skilled employee,big city
male,single,33,high school,106015,skilled employee,big city
male,single,45,high school,108378,skilled employee,small city
female,non-single,22,high school,105257,skilled employee,mid-sized city
female,non-single,48,universty,118788,unemployed,small city
female,non-single,29,high school,162955,skilled employee,big city
female,non-single,22,high school,119511,skilled employee,big city
female,non-single,22,high school,102000,skilled employee,small city
male,single,48,high school,254449,highly qualified employee,mid-sized city
male,single,27,unknown,208446,highly qualified employee,big city
male,single,37,high school,124805,skilled employee,small city
female,non-single,21,high school,139379,skilled employee,small city
male,non-single,49,universty,78296,unemployed,small city
male,single,27,unknown,125598,skilled employee,mid-sized city
male,single,32,unknown,100215,skilled employee,big city
male,non-single,38,high school,130951,skilled employee,big city
female,non-single,22,high school,102480,skilled employee,big city
male,single,65,universty,136812,skilled employee,mid-sized city
male,single,35,high school,106919,skilled employee,mid-sized city
male,single,41,high school,131020,skilled employee,big city
male,single,29,unknown,119429,skilled employee,mid-sized city
male,single,36,high school,154521,skilled employee,mid-sized city
male,single,64,universty,117842,unemployed,small city
female,non-single,28,high school,124566,skilled employee,big city
male,single,44,high school,110009,skilled employee,big city
male,single,23,unknown,101210,skilled employee,mid-sized city
female,non-single,19,high school,101258,skilled employee,small city
female,non-single,25,high school,79045,unemployed,small city
male,single,47,high school,110866,skilled employee,small city
female,non-single,28,high school,129640,skilled employee,big city
male,single,21,unknown,227021,skilled employee,mid-sized city
female,non-single,34,high school,108549,skilled employee,mid-sized city
male,single,26,unknown,122693,skilled employee,small city
female,non-single,27,high school,35832,unemployed,small city
male,single,38,high school,81870,unemployed,small city
male,single,40,high school,179790,highly qualified employee,big city
male,non-single,33,high school,107158,skilled employee,mid-sized city
male,non-single,32,high school,136638,highly qualified employee,mid-sized city
male,single,27,unknown,158147,skilled employee,big city
male,non-single,32,high school,132587,skilled employee,big city
female,non-single,26,high school,128140,skilled employee,big city
male,single,38,high school,117405,skilled employee,mid-sized city
male,single,40,high school,68475,unemployed,small city
male,single,50,high school,201656,highly qualified employee,big city
male,single,37,high school,86967,unemployed,small city
male,single,45,high school,118006,skilled employee,mid-sized city
male,single,42,high school,223630,highly qualified employee,big city
male,single,35,high school,110442,skilled employee,small city
male,single,22,unknown,115691,skilled employee,big city
male,single,41,high school,80232,unemployed,small city
male,single,37,high school,187647,skilled employee,mid-sized city
female,non-single,28,high school,138952,skilled employee,mid-sized city
male,single,41,high school,162772,skilled employee,big city
male,non-single,23,high school,111862,skilled employee,mid-sized city
male,non-single,23,high school,90051,skilled employee,mid-sized city
male,single,50,high school,121400,skilled employee,mid-sized city
male,single,35,high school,137000,highly qualified employee,big city
female,non-single,50,universty,105031,unemployed,small city
male,single,27,unknown,172153,highly qualified employee,big city
male,single,34,high school,170184,skilled employee,mid-sized city
female,non-single,27,high school,123279,skilled employee,mid-sized city
male,single,43,high school,140795,skilled employee,small city
male,single,47,high school,144456,skilled employee,small city
male,single,27,unknown,104773,unemployed,small city
male,single,31,unknown,153353,skilled employee,mid-sized city
male,single,42,high school,223018,highly qualified employee,mid-sized city
male,non-single,24,high school,129177,skilled employee,big city
male,single,41,high school,114475,unemployed,mid-sized city
female,non-single,26,high school,161323,highly qualified employee,mid-sized city
male,single,33,high school,135765,skilled employee,big city
male,non-single,24,high school,158421,skilled employee,small city
male,single,64,universty,103941,unemployed,small city
female,non-single,26,high school,101783,skilled employee,big city
female,non-single,56,universty,126531,skilled employee,mid-sized city
male,single,37,high school,111394,skilled employee,mid-sized city
male,non-single,33,high school,103577,skilled employee,big city
male,non-single,47,universty,149545,skilled employee,mid-sized city
male,single,31,unknown,171857,unemployed,small city
male,single,34,high school,149782,skilled employee,mid-sized city
male,single,27,unknown,112470,skilled employee,mid-sized city
male,single,30,unknown,133907,skilled employee,big city
male,single,35,high school,127849,skilled employee,mid-sized city
male,single,31,unknown,160279,skilled employee,big city
male,non-single,25,high school,92366,skilled employee,big city
female,non-single,25,high school,104794,unemployed,small city
male,single,29,unknown,133436,skilled employee,mid-sized city
male,single,44,high school,110374,unemployed,small city
male,single,28,unknown,104263,skilled employee,mid-sized city
male,single,50,high school,138752,skilled employee,small city
male,single,29,unknown,102723,skilled employee,small city
female,non-single,38,high school,46297,unemployed,small city
male,single,24,unknown,96425,skilled employee,mid-sized city
male,single,40,high school,158197,highly qualified employee,mid-sized city
female,non-single,29,high school,98008,unemployed,small city
male,single,46,high school,157473,skilled employee,small city
female,non-single,47,universty,149306,skilled employee,small city
male,single,41,high school,139236,skilled employee,mid-sized city
female,non-single,32,high school,125890,skilled employee,big city
female,non-single,35,high school,173124,skilled employee,mid-sized city
male,single,24,unknown,164621,skilled employee,mid-sized city
female,non-single,25,high school,124539,skilled employee,mid-sized city
female,non-single,25,high school,107614,skilled employee,mid-sized city
male,single,37,high school,88849,unemployed,small city
male,single,32,unknown,148566,highly qualified employee,big city
female,non-single,35,high school,106515,skilled employee,big city
male,single,46,high school,150465,highly qualified employee,mid-sized city
male,single,25,unknown,60868,unemployed,small city
male,single,27,unknown,255198,highly qualified employee,big city
male,single,63,universty,183178,skilled employee,mid-sized city
male,single,40,high school,121448,skilled employee,big city
male,single,32,unknown,129975,highly qualified employee,big city
male,single,31,unknown,132950,skilled employee,big city
male,non-single,31,high school,169314,skilled employee,mid-sized city
male,single,34,high school,147958,highly qualified employee,mid-sized city
female,non-single,24,high school,139896,skilled employee,big city
female,non-single,24,high school,68028,unemployed,small city
female,non-single,66,graduate school,133328,unemployed,small city
female,non-single,21,high school,108518,skilled employee,big city
female,non-single,41,universty,112700,unemployed,small city
male,non-single,47,universty,110190,unemployed,small city
female,non-single,25,high school,105104,skilled employee,mid-sized city
female,non-single,59,universty,184753,skilled employee,mid-sized city
male,non-single,36,high school,162521,skilled employee,big city
male,single,33,high school,156794,skilled employee,mid-sized city
male,single,21,unknown,65827,unemployed,small city
female,non-single,44,universty,88490,unemployed,small city
female,non-single,28,high school,154919,skilled employee,big city
female,non-single,37,high school,129058,skilled employee,small city
female,non-single,29,high school,77532,unemployed,small city
female,non-single,23,high school,235417,highly qualified employee,big city
male,single,35,high school,113468,unemployed,small city
male,single,45,high school,190803,highly qualified employee,big city
female,non-single,26,high school,121423,unemployed,small city
male,single,32,unknown,121347,skilled employee,mid-sized city
male,single,23,unknown,67408,unemployed,small city
male,single,41,high school,123043,skilled employee,mid-sized city
male,single,22,unknown,128387,skilled employee,big city
male,single,30,unknown,250050,highly qualified employee,mid-sized city
male,single,28,unknown,69588,unemployed,small city
female,non-single,23,high school,109547,skilled employee,mid-sized city
female,non-single,37,high school,78840,unemployed,small city
male,single,26,unknown,131122,skilled employee,small city
male,single,33,high school,115403,skilled employee,mid-sized city
female,non-single,49,universty,110291,skilled employee,big city
female,non-single,23,high school,64811,unemployed,small city
female,non-single,23,high school,86015,unemployed,small city
female,non-single,25,high school,142438,skilled employee,big city
male,single,55,high school,159303,skilled employee,mid-sized city
female,non-single,32,high school,104957,skilled employee,mid-sized city
male,single,74,universty,89502,unemployed,small city
male,single,39,high school,121313,skilled employee,mid-sized city
male,single,31,unknown,98102,skilled employee,small city
male,single,35,high school,94554,skilled employee,mid-sized city
female,non-single,59,universty,162591,skilled employee,mid-sized city
female,non-single,24,high school,106629,skilled employee,big city
male,single,24,unknown,70400,unemployed,small city
male,single,30,unknown,235660,highly qualified employee,big city
male,non-single,27,high school,121747,skilled employee,big city
male,non-single,40,high school,85060,unemployed,small city
male,non-single,31,high school,87630,unemployed,small city
female,non-single,31,high school,119673,skilled employee,small city
male,single,28,unknown,126060,skilled employee,big city
male,single,63,universty,96145,unemployed,small city
female,non-single,26,high school,114830,skilled employee,small city
female,non-single,25,high school,194461,highly qualified employee,big city
male,single,36,high school,150158,highly qualified employee,big city
male,single,52,high school,136323,skilled employee,big city
male,single,66,universty,111858,unemployed,small city
female,non-single,25,high school,100198,skilled employee,small city
male,single,37,high school,123452,skilled employee,big city
female,non-single,25,high school,120723,skilled employee,mid-sized city
male,single,38,high school,215639,highly qualified employee,mid-sized city
female,non-single,67,graduate school,166712,skilled employee,mid-sized city
male,single,25,unknown,136300,skilled employee,mid-sized city
male,single,60,universty,166988,skilled employee,big city
male,single,31,unknown,77265,unemployed,small city
female,non-single,23,high school,85967,unemployed,small city
male,non-single,60,universty,212020,highly qualified employee,small city
male,single,35,high school,126054,unemployed,small city
male,single,40,high school,144589,skilled employee,small city
male,single,38,high school,116723,skilled employee,mid-sized city
male,single,50,high school,168637,skilled employee,mid-sized city
male,single,27,unknown,139119,skilled employee,mid-sized city
female,non-single,39,universty,118610,skilled employee,big city
male,single,41,high school,183312,highly qualified employee,big city
male,non-single,27,high school,96323,skilled employee,small city
male,non-single,51,universty,149510,skilled employee,big city
male,single,32,unknown,141922,skilled employee,big city
female,non-single,22,high school,120233,skilled employee,small city
male,single,51,high school,172790,skilled employee,mid-sized city
female,non-single,22,high school,66720,unemployed,small city
male,non-single,54,universty,113024,skilled employee,mid-sized city
male,single,35,high school,51791,unemployed,small city
male,single,54,high school,118408,skilled employee,big city
female,non-single,48,universty,101616,unemployed,small city
female,non-single,24,high school,127250,skilled employee,small city
male,single,35,high school,97290,skilled employee,small city
female,non-single,24,high school,106970,unemployed,small city
male,single,24,unknown,168147,skilled employee,big city
male,non-single,26,high school,68468,unemployed,small city
male,single,65,universty,120780,skilled employee,big city
male,single,55,high school,231992,highly qualified employee,big city
female,non-single,26,high school,53903,unemployed,small city
male,non-single,26,high school,101511,skilled employee,big city
male,non-single,28,high school,69046,unemployed,small city
male,single,24,unknown,171584,skilled employee,mid-sized city
male,single,54,high school,132367,skilled employee,big city
male,single,46,high school,134433,skilled employee,big city
female,non-single,54,universty,190518,skilled employee,small city
male,non-single,62,universty,152367,skilled employee,mid-sized city
female,non-single,24,high school,101157,skilled employee,mid-sized city
male,non-single,43,universty,279593,highly qualified employee,big city
male,non-single,26,high school,96716,skilled employee,big city
male,non-single,27,high school,95171,skilled employee,small city
male,non-single,24,high school,129162,skilled employee,big city
male,single,41,high school,118742,skilled employee,small city
male,single,47,high school,74511,unemployed,small city
male,non-single,35,high school,157272,highly qualified employee,mid-sized city
male,non-single,30,high school,102374,skilled employee,small city
female,non-single,33,high school,131492,skilled employee,small city
male,single,36,high school,128702,skilled employee,big city
male,single,47,high school,177509,skilled employee,big city
male,single,38,high school,163451,skilled employee,mid-sized city
male,single,44,high school,144900,skilled employee,mid-sized city
female,non-single,23,high school,97115,skilled employee,big city
male,single,29,unknown,196568,skilled employee,big city
female,non-single,42,universty,158405,skilled employee,small city
female,non-single,25,high school,97376,unemployed,small city
male,single,48,high school,108678,skilled employee,mid-sized city
female,non-single,21,high school,92351,skilled employee,small city
female,non-single,23,high school,61211,unemployed,small city
male,single,63,universty,138644,skilled employee,small city
male,non-single,46,universty,124824,skilled employee,big city
male,single,29,unknown,132852,skilled employee,small city
male,single,28,unknown,81069,unemployed,small city
female,non-single,23,high school,104094,skilled employee,big city
male,single,50,high school,114853,skilled employee,small city
male,single,47,high school,130344,skilled employee,big city
male,single,35,high school,135090,skilled employee,small city
male,single,68,universty,179151,skilled employee,big city
male,non-single,28,high school,97390,skilled employee,mid-sized city
male,single,59,universty,120160,skilled employee,small city
male,single,57,universty,82277,unemployed,small city
male,non-single,33,high school,110844,skilled employee,big city
male,single,43,high school,133105,skilled employee,small city
male,single,35,high school,102042,skilled employee,small city
male,single,32,unknown,69370,unemployed,small city
male,single,45,high school,200298,skilled employee,mid-sized city
male,non-single,33,high school,117039,skilled employee,big city
female,non-single,40,universty,107585,skilled employee,big city
male,single,28,unknown,114429,skilled employee,small city
female,non-single,29,high school,128234,skilled employee,big city
male,single,26,unknown,128580,skilled employee,big city
male,single,27,unknown,177757,skilled employee,mid-sized city
male,non-single,28,high school,106222,skilled employee,small city
female,non-single,35,high school,118428,skilled employee,big city
male,single,32,unknown,139477,unemployed,small city
male,single,25,unknown,71159,unemployed,small city
female,non-single,20,high school,131370,skilled employee,big city
female,non-single,27,high school,111567,skilled employee,big city
male,single,42,high school,125482,skilled employee,big city
male,single,37,high school,160642,skilled employee,big city
female,non-single,24,high school,92498,skilled employee,small city
female,non-single,40,universty,199711,skilled employee,big city
male,single,46,high school,127588,skilled employee,big city
male,single,26,unknown,107508,skilled employee,big city
female,non-single,24,high school,94629,skilled employee,big city
male,single,29,unknown,87598,unemployed,big city
female,non-single,40,universty,161194,skilled employee,mid-sized city
male,single,36,high school,137342,highly qualified employee,big city
male,single,28,unknown,116848,skilled employee,mid-sized city
male,single,27,unknown,125190,highly qualified employee,mid-sized city
male,single,36,high school,153441,skilled employee,small city
male,single,38,high school,195328,highly qualified employee,big city
male,non-single,48,universty,190413,skilled employee,small city
male,single,36,high school,118656,skilled employee,mid-sized city
female,non-single,65,graduate school,69487,unemployed,small city
male,non-single,43,universty,145313,skilled employee,mid-sized city
female,non-single,53,universty,117005,skilled employee,mid-sized city
male,single,34,high school,123243,skilled employee,mid-sized city
male,single,23,unknown,237799,skilled employee,mid-sized city
male,single,34,high school,180617,highly qualified employee,big city
male,single,40,high school,167019,skilled employee,small city
male,single,43,high school,147745,highly qualified employee,big city
male,single,46,high school,114254,skilled employee,mid-sized city
male,single,38,high school,81155,unemployed,small city
male,single,34,high school,151803,skilled employee,big city
male,single,29,unknown,94356,skilled employee,big city
male,single,31,unknown,200621,highly qualified employee,big city
female,non-single,28,high school,144448,highly qualified employee,mid-sized city
female,non-single,35,high school,150797,skilled employee,small city
female,non-single,33,high school,84404,unemployed,small city
male,single,42,high school,133373,skilled employee,big city
male,single,43,high school,119502,skilled employee,big city
male,non-single,44,universty,131619,skilled employee,small city
male,single,42,high school,194084,skilled employee,big city
male,non-single,40,high school,108278,skilled employee,mid-sized city
male,single,36,high school,130987,highly qualified employee,mid-sized city
male,single,20,unknown,116582,highly qualified employee,big city
male,single,24,unknown,85270,unemployed,small city
male,non-single,27,high school,129227,skilled employee,small city
female,non-single,46,universty,108291,unemployed,small city
female,non-single,33,high school,103091,unemployed,small city
female,non-single,34,high school,136975,skilled employee,mid-sized city
female,non-single,25,high school,111502,unemployed,small city
female,non-single,25,high school,124750,skilled employee,mid-sized city
male,non-single,28,high school,146463,skilled employee,big city
male,single,31,unknown,115075,skilled employee,small city
female,non-single,32,high school,308491,highly qualified employee,mid-sized city
male,single,32,unknown,126368,skilled employee,small city
male,single,68,universty,287247,highly qualified employee,big city
male,non-single,33,high school,125535,skilled employee,big city
male,single,39,high school,153223,highly qualified employee,big city
female,non-single,28,high school,106873,skilled employee,mid-sized city
male,single,37,high school,268906,highly qualified employee,mid-sized city
female,non-single,22,high school,97757,skilled employee,big city
male,single,30,unknown,112151,skilled employee,mid-sized city
male,non-single,55,universty,172909,skilled employee,small city
male,single,46,high school,103387,skilled employee,mid-sized city
female,non-single,21,high school,93916,skilled employee,big city
male,single,39,high school,189963,skilled employee,big city
male,single,58,universty,124191,skilled employee,small city
male,single,43,high school,77205,unemployed,small city
male,single,24,unknown,65917,unemployed,small city
female,non-single,22,high school,109676,skilled employee,small city
male,single,30,unknown,95682,skilled employee,big city
male,single,42,high school,125516,skilled employee,big city
female,non-single,23,high school,99822,skilled employee,small city
male,single,30,unknown,154854,highly qualified employee,mid-sized city
female,non-single,28,high school,84582,unemployed,small city
male,non-single,30,high school,145800,highly qualified employee,small city
male,single,42,high school,162869,skilled employee,mid-sized city
male,single,46,high school,192379,highly qualified employee,big city
male,single,45,high school,159757,highly qualified employee,big city
male,single,31,unknown,69571,unemployed,small city
male,single,31,unknown,93648,skilled employee,big city
male,single,42,high school,77472,unemployed,small city
female,non-single,46,universty,121501,skilled employee,small city
female,non-single,30,high school,207262,skilled employee,small city
male,single,30,unknown,143082,skilled employee,big city
male,single,38,high school,147760,highly qualified employee,mid-sized city
male,non-single,43,universty,82082,unemployed,small city
male,single,31,unknown,132991,skilled employee,mid-sized city
male,non-single,40,high school,78436,unemployed,small city
male,single,24,unknown,99737,skilled employee,big city
female,non-single,28,high school,164915,skilled employee,small city
female,non-single,26,high school,223185,highly qualified employee,mid-sized city
female,non-single,29,high school,108400,skilled employee,big city
female,non-single,57,universty,194882,highly qualified employee,mid-sized city
male,single,49,high school,122186,unemployed,small city
male,single,37,high school,79594,unemployed,small city
male,single,45,high school,104355,unemployed,small city
male,single,30,unknown,135894,skilled employee,big city
male,non-single,30,high school,103699,skilled employee,mid-sized city
male,non-single,47,universty,132145,skilled employee,mid-sized city
male,single,29,unknown,117272,skilled employee,big city
male,single,35,high school,137932,skilled employee,small city
male,non-single,22,high school,63972,unemployed,small city
female,non-single,26,high school,113299,skilled employee,big city
male,single,23,unknown,108540,unemployed,small city
female,non-single,54,universty,174424,highly qualified employee,big city
male,non-single,29,high school,154991,skilled employee,big city
male,single,40,high school,99723,unemployed,small city
male,single,22,unknown,114584,skilled employee,big city
male,single,43,high school,135275,unemployed,small city
female,non-single,29,high school,41680,unemployed,small city
male,single,36,high school,158769,skilled employee,mid-sized city
female,non-single,33,high school,120596,skilled employee,small city
female,non-single,57,universty,139641,unemployed,small city
female,non-single,64,graduate school,134377,skilled employee,small city
male,single,42,high school,125804,skilled employee,big city
male,single,47,high school,91858,unemployed,small city
male,non-single,25,high school,117641,skilled employee,big city
male,single,49,high school,188594,skilled employee,mid-sized city
male,single,33,high school,162827,highly qualified employee,big city
female,non-single,28,high school,178991,highly qualified employee,big city
male,single,26,unknown,159739,skilled employee,mid-sized city
male,single,30,unknown,73401,unemployed,small city
female,non-single,25,high school,100794,skilled employee,big city
male,non-single,33,high school,167763,skilled employee,mid-sized city
female,non-single,64,graduate school,145174,skilled employee,small city
male,single,29,unknown,176292,highly qualified employee,mid-sized city
male,single,48,high school,94024,unemployed,small city
male,single,37,high school,93740,unemployed,small city
male,single,34,high school,85685,unemployed,small city
male,non-single,23,high school,69997,unemployed,small city
male,single,30,unknown,151938,highly qualified employee,big city
male,single,50,high school,122830,skilled employee,mid-sized city
female,non-single,31,high school,78489,unemployed,small city
male,non-single,40,high school,161999,highly qualified employee,mid-sized city
male,single,38,high school,98032,skilled employee,big city
male,single,23,unknown,96060,skilled employee,small city
male,single,27,unknown,147968,skilled employee,mid-sized city
female,non-single,63,universty,134853,skilled employee,mid-sized city
male,single,66,universty,157576,highly qualified employee,big city
male,non-single,43,universty,203738,highly qualified employee,mid-sized city
male,non-single,44,universty,280570,highly qualified employee,big city
male,non-single,65,graduate school,69487,unemployed,big city
female,non-single,73,graduate school,214126,highly qualified employee,mid-sized city
male,single,60,universty,136671,skilled employee,mid-sized city
male,non-single,62,universty,174337,skilled employee,mid-sized city
female,non-single,58,universty,126710,skilled employee,mid-sized city
female,non-single,43,universty,167139,highly qualified employee,big city
male,single,64,universty,122094,skilled employee,big city
male,non-single,37,graduate school,170113,highly qualified employee,big city
female,non-single,46,universty,192698,highly qualified employee,mid-sized city
male,non-single,57,universty,144197,skilled employee,big city
male,non-single,51,universty,133623,skilled employee,mid-sized city
female,non-single,32,graduate school,171052,highly qualified employee,big city
male,single,64,universty,130492,skilled employee,big city
male,single,68,universty,135705,skilled employee,mid-sized city
female,non-single,55,universty,171804,highly qualified employee,big city
male,single,73,universty,192167,highly qualified employee,mid-sized city
female,non-single,34,graduate school,134377,skilled employee,big city
male,non-single,44,universty,146716,skilled employee,mid-sized city
male,single,58,universty,267872,skilled employee,mid-sized city
female,non-single,65,universty,142193,unemployed,mid-sized city
female,non-single,56,universty,183765,skilled employee,mid-sized city
female,non-single,42,universty,218664,highly qualified employee,big city
female,non-single,65,graduate school,145174,skilled employee,big city
male,single,72,universty,224961,highly qualified employee,big city
female,non-single,45,universty,262634,highly qualified employee,big city
male,single,68,universty,287106,highly qualified employee,big city
male,single,60,universty,166298,highly qualified employee,mid-sized city
female,non-single,30,graduate school,133328,unemployed,big city
male,single,63,universty,129798,skilled employee,mid-sized city
male,single,57,universty,281084,highly qualified employee,mid-sized city
female,non-single,46,universty,160678,skilled employee,big city
female,non-single,70,graduate school,167532,skilled employee,mid-sized city
male,single,65,universty,178591,skilled employee,big city
male,single,63,universty,273063,highly qualified employee,big city
male,non-single,54,universty,149410,skilled employee,big city
male,non-single,49,universty,124658,skilled employee,big city
female,non-single,64,universty,153645,skilled employee,big city
female,non-single,61,universty,308529,highly qualified employee,big city
female,non-single,57,universty,155062,skilled employee,big city
female,non-single,42,universty,199654,skilled employee,big city
male,single,62,universty,124723,skilled employee,big city
female,non-single,41,universty,127752,skilled employee,big city
female,non-single,51,universty,157595,highly qualified employee,mid-sized city
female,non-single,38,universty,135534,skilled employee,big city
female,non-single,56,universty,166264,highly qualified employee,big city
female,non-single,43,universty,147259,skilled employee,mid-sized city
female,non-single,48,universty,161116,skilled employee,mid-sized city
male,single,61,universty,139380,skilled employee,mid-sized city
male,non-single,48,universty,213768,highly qualified employee,big city
male,single,68,universty,125903,skilled employee,big city
female,non-single,62,universty,163940,skilled employee,mid-sized city
female,non-single,56,universty,173378,highly qualified employee,big city
female,non-single,53,universty,126847,skilled employee,mid-sized city
male,non-single,33,graduate school,166712,skilled employee,big city
female,non-single,60,universty,189166,skilled employee,mid-sized city
female,non-single,47,universty,161714,skilled employee,mid-sized city
male,non-single,25,graduate school,214364,highly qualified employee,big city
male,single,64,universty,184680,skilled employee,mid-sized city
male,single,73,universty,214732,highly qualified employee,mid-sized city
male,non-single,66,universty,152527,skilled employee,mid-sized city
female,non-single,76,graduate school,170366,highly qualified employee,mid-sized city
female,non-single,60,universty,194532,highly qualified employee,mid-sized city
female,non-single,57,universty,125883,skilled employee,big city
male,non-single,30,graduate school,131242,skilled employee,big city
male,non-single,43,universty,159880,highly qualified employee,mid-sized city
male,single,57,universty,165519,skilled employee,big city
male,non-single,51,universty,149653,skilled employee,mid-sized city
female,non-single,61,universty,134102,skilled employee,mid-sized city
male,single,64,universty,159378,highly qualified employee,big city
male,non-single,41,universty,205476,highly qualified employee,mid-sized city
male,non-single,43,universty,280566,highly qualified employee,big city
male,non-single,67,graduate school,71823,unemployed,big city
female,non-single,71,graduate school,211572,highly qualified employee,mid-sized city
male,single,59,universty,136123,skilled employee,mid-sized city
male,non-single,60,universty,176372,skilled employee,mid-sized city
female,non-single,60,universty,128271,skilled employee,mid-sized city
female,non-single,45,universty,169020,highly qualified employee,big city
male,single,63,universty,122267,skilled employee,big city
male,non-single,38,graduate school,169324,highly qualified employee,big city
female,non-single,46,universty,192561,highly qualified employee,mid-sized city
male,non-single,55,universty,145781,skilled employee,big city
male,non-single,50,universty,135376,skilled employee,mid-sized city
female,non-single,30,graduate school,169002,highly qualified employee,big city
male,single,63,universty,128469,skilled employee,big city
male,single,67,universty,135567,skilled employee,mid-sized city
female,non-single,54,universty,170644,highly qualified employee,big city
male,single,71,universty,192360,highly qualified employee,mid-sized city
female,non-single,32,graduate school,133235,skilled employee,big city
female,non-single,45,universty,260847,highly qualified employee,big city
male,single,65,universty,285647,highly qualified employee,big city
male,single,62,universty,164816,highly qualified employee,mid-sized city
female,non-single,28,graduate school,130148,unemployed,big city
male,single,65,universty,129838,skilled employee,mid-sized city
male,single,57,universty,281647,highly qualified employee,mid-sized city
female,non-single,48,universty,157305,skilled employee,big city
female,non-single,71,graduate school,163654,skilled employee,mid-sized city
male,single,38,high school,82398,skilled employee,mid-sized city
male,non-single,40,high school,107710,skilled employee,mid-sized city
male,single,49,high school,122346,skilled employee,mid-sized city
male,non-single,32,high school,155540,highly qualified employee,mid-sized city
male,single,45,high school,127572,skilled employee,mid-sized city
male,single,40,high school,154031,highly qualified employee,mid-sized city
male,single,66,universty,164931,highly qualified employee,big city
male,single,38,high school,123003,skilled employee,big city
male,non-single,20,high school,89605,skilled employee,mid-sized city
male,single,48,high school,117721,skilled employee,mid-sized city
male,non-single,46,universty,168904,highly qualified employee,mid-sized city
male,single,32,high school,137576,highly qualified employee,big city
male,single,54,high school,111274,skilled employee,mid-sized city
male,non-single,24,high school,94249,highly qualified employee,big city
male,non-single,27,high school,180940,highly qualified employee,mid-sized city
male,single,57,high school,125032,skilled employee,big city
male,single,38,high school,138011,highly qualified employee,mid-sized city
male,single,40,high school,144850,skilled employee,mid-sized city
male,non-single,20,high school,107270,skilled employee,big city
male,single,36,high school,113405,highly qualified employee,big city
male,single,47,high school,137338,skilled employee,big city
male,single,64,universty,125119,unemployed,big city
male,single,42,high school,159745,highly qualified employee,big city
male,single,44,high school,181262,highly qualified employee,big city
male,non-single,30,high school,90500,highly qualified employee,big city
male,single,37,high school,102733,skilled employee,mid-sized city
male,single,42,high school,135493,skilled employee,big city
male,non-single,62,universty,169044,skilled employee,mid-sized city
male,single,49,high school,178549,skilled employee,big city
male,single,52,high school,159716,skilled employee,big city
male,non-single,36,high school,170118,highly qualified employee,mid-sized city
male,single,49,high school,143886,unemployed,mid-sized city
male,single,42,high school,130164,highly qualified employee,big city
male,single,38,high school,114476,skilled employee,mid-sized city
male,single,50,high school,126143,skilled employee,mid-sized city
male,non-single,34,high school,129654,highly qualified employee,big city
male,single,43,high school,123202,skilled employee,big city
male,single,40,high school,160524,skilled employee,mid-sized city
male,single,56,universty,126906,skilled employee,mid-sized city
male,single,41,high school,143994,highly qualified employee,big city
male,non-single,30,high school,123517,highly qualified employee,big city
male,non-single,28,high school,129055,skilled employee,big city
male,single,64,universty,136312,unemployed,big city
male,single,67,universty,112486,skilled employee,big city
male,single,37,high school,152401,highly qualified employee,mid-sized city
male,single,31,high school,157453,highly qualified employee,mid-sized city
male,single,32,high school,142870,highly qualified employee,big city
male,non-single,52,universty,137231,skilled employee,big city
male,non-single,31,high school,104406,skilled employee,mid-sized city
male,single,36,high school,145385,highly qualified employee,mid-sized city
male,non-single,32,high school,146519,highly qualified employee,mid-sized city
male,single,51,high school,126227,skilled employee,big city
male,single,47,high school,112227,highly qualified employee,mid-sized city
male,non-single,34,high school,110145,skilled employee,big city
male,non-single,46,universty,149419,skilled employee,mid-sized city
male,non-single,42,high school,176646,skilled employee,mid-sized city
male,single,39,high school,91019,highly qualified employee,mid-sized city
male,single,50,high school,169579,skilled employee,big city
male,single,42,high school,142305,skilled employee,big city
male,non-single,36,high school,130602,skilled employee,mid-sized city
male,non-single,18,high school,98992,skilled employee,mid-sized city
male,single,35,high school,181926,highly qualified employee,big city
male,single,38,high school,152864,skilled employee,big city
male,single,39,high school,135837,highly qualified employee,big city
male,non-single,24,high school,121757,unemployed,big city
male,single,41,high school,182274,skilled employee,mid-sized city
male,single,36,high school,149040,highly qualified employee,big city
male,single,37,high school,154196,highly qualified employee,big city
male,non-single,45,universty,135332,skilled employee,mid-sized city
male,single,41,high school,134200,highly qualified employee,big city
male,single,36,high school,177171,highly qualified employee,big city
male,single,38,high school,115964,unemployed,big city
male,single,38,high school,136871,unemployed,mid-sized city
male,non-single,53,universty,159559,highly qualified employee,big city
male,single,35,high school,113878,skilled employee,big city
male,single,48,high school,171203,highly qualified employee,big city
male,single,36,high school,102180,skilled employee,big city
male,non-single,22,high school,116844,highly qualified employee,mid-sized city
male,single,35,high school,139844,highly qualified employee,big city
male,single,42,high school,156431,unemployed,mid-sized city
male,single,39,high school,116137,unemployed,mid-sized city
